"pkgname";"pkgver";"arch";"pkgrel";"location";"dep";"sizeC";"sizeU";"Desc"
"2H4U";"1.3";"i486";"1gv";"/salix/games";"cxxlibs|gcc-g++,freetype,gcc,libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libjpeg,libpng,libtiff,libxcb,sdl,svgalib,zlib";"1863 K";"7452 K";" 2H4U - a mix between a Tetris-like game and a wall breaker 2H4U, which stands for Too Hard For You, is an open source game, and a mix between a Tetris-like game and a wall breaker. It requires good reflexes, coordination, and ambidexters should have some advantages. Will 2H4U be too hard for you?"
"Agender";"1.1.9";"i486";"1rl";"/salix/xap";"atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXxf86vm,libjpeg,libpng,libtiff,libxcb,pango,pixman,sdl,svgalib,util-linux,wxGTK,zlib";"88 K";"352 K";" agender (a schedule/calendar tool)  Agender is a cross-plataform schedule/calendar tool. It was written to be small, simple and work on any computer with any OS. Agender is free software licensed under the GNU General Public License. With Agender you can associate some notes with a date or with no date in particular if you mark the note as sticky, you simply start it and it will create a task-bar icon and stay in the background, without annoying you, it can also be configured to run on login.   "
"ComixCursors";"0.6.0";"noarch";"1gv";"/salix/l";"";"1874 K";"7496 K";" ComixCursors - The original Comix Cursors.  X11 mouse theme with a comics feeling. Package comes with 50 different mouse themes for X11. 6 colors (black, blue, green, orange, red and white) 4 different sizes (small, regular, large and huge) 2 different weights (slim and normal) .. and one for christmas and one with ghost  "
"FlightGear";"2.0.0";"i486";"2mb";"/salix/games";"OpenSceneGraph,apr,apr-util,cxxlibs|gcc-g++,cyrus-sasl,db44,expat,freealut,gcc,libICE,libSM,libX11,libXau,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXmu,libXrandr,libXrender,libXt,libXxf86vm,libdrm,libxcb,mesa,neon,openal-soft,openldap-client,openssl-solibs|openssl,sqlite,subversion,util-linux,zlib";"2432 K";"9728 K";" FlightGear (an open-source, multi-platform flight simulator)  The goal of the FlightGear project is to create a sophisticated flight simulator framework for use in research or academic environments, for the development and pursuit of other interesting flight simulation ideas, and as an end-user application.     "
"FlightGear-data";"2.0.0";"noarch";"1mb";"/salix/games";"";"269879 K";"1079516 K";" FlightGear-data (data files for FlightGear)  FlightGear-data includes the base data files necessary for FlightGear, such as scenery and aircraft models.       "
"FretsOnFire";"1.3.110";"noarch";"2gv";"/salix/games";"numpy,pil,pygame,pyopengl,python";"28420 K";"113680 K";" FretsOnFire (play guitar with your keyboard)  Frets on Fire is a game of musical skill and fast fingers. The aim of the game is to play guitar with the keyboard as accurately as possible.      "
"GConf";"2.32.1";"i486";"1gv";"/salix/gnome";"atk,cairo,cyrus-sasl,dbus,dbus-glib,expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,gdk-pixbuf2,glib2,gtk+2,libpng,libX11,libXau,libxcb,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libxml2,libXrandr,libXrender,openldap-client,openssl-solibs|openssl,ORBit2,pango,pixman,zlib";"861 K";"3444 K";" GConf (the GNOME Configuration database system)  GConf is the GNOME Configuration database system. It is intend for storing user application preferences.       "
"GeoIP";"1.4.6";"i486";"2tm";"/salix/l";"zlib";"472 K";"1888 K";" GeoIP (GeoIP API and database)  GeoIP is the proprietary technology that drives MaxMind's IP geolocation data and services. GeoIP provides businesses with a non-invasive way to determine geographical and other information about their Internet visitors in real-time. To name a few applications, GeoIP can be used for delivering customized content, targeted ads and web log statistics  Homepage: http://www.maxmind.com/download/geoip/api/c/ "
"HandBrake";"0.9.5";"i486";"1tm";"/salix/xap";"atk,bzip2,cairo,cxxlibs|gcc-g++,dbus,dbus-glib,enchant,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gnutls,gst-plugins-base,gstreamer,gtk+2,icu,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXt,libgcrypt,libgpg-error,libjpeg,libnotify,libpng,libsoup,libxcb,libxml2,libxslt,pango,pixman,sqlite,udev,util-linux,webkit,zlib";"8644 K";"34576 K";" HandBrake (video transcoder)  HandBrake is an open-source, GPL-licensed, multiplatform, multithreaded video transcoder. This package contains the Gtk+2 frontend.      "
"LibRaw";"0.13.1";"i486";"1mb";"/salix/l";"";"487 K";"1948 K";" LibRaw (a raw image decoder)  LibRaw is a library for reading RAW files obtained from digital photo cameras (CRW/CR2, NEF, RAF, DNG, and others). LibRaw is based on the source codes of the dcraw utility, where part of drawbacks have already been eliminated and part will be fixed in future. The users of the library are provided with API to be built into their software programs.   "
"Mako";"0.3.4";"i486";"1dj";"/salix/l";"python,setuptools";"87 K";"348 K";" Mako (A python templating language)  Mako is a template library written in Python. It provides a familiar, non-XML syntax which compiles into Python modules for maximum performance. Mako's syntax and API borrows from the best ideas of many others, including Django templates, Cheetah, Myghty, and Genshi. Conceptually, Mako is an embedded Python (i.e. Python Server Page) language, which refines the familiar ideas of componentized layout and inheritance to produce one of the most straightforward and flexible models available, while also maintaining close ties to Python. Homepage: http://www.makotemplates.org"
"MarkupSafe";"0.9.2";"i486";"1dj";"/salix/l";"python";"11 K";"44 K";" MarkupSafe (unicode subclass)  MarkupSafe implements a unicode subclass that supports HTML strings. Homepage: http://pypi.python.org/pypi/MarkupSafe       "
"ORBit2";"2.14.19";"i486";"1gv";"/salix/gnome";"glib2,libidl";"305 K";"1220 K";" ORBit2 (a high-performance CORBA)  ORBit is a high-performance CORBA (Common Object Request Broker Architecture) ORB (object request broker).  It allows programs to send requests and receive replies from other programs, regardless of the locations of the two programs.  CORBA is an architecture that enables communication between program objects, regardless of the programming language they're written in or the operating system they run on.  "
