"pkgname";"pkgver";"arch";"pkgrel";"location";"dep";"sizeC";"sizeU";"Desc"
"ConsoleKit";"0.4.3";"x86_64";"1";"/slackware64/l";"";"136 K";"660 K";" ConsoleKit (user, login, and seat tracking framework) ConsoleKit is a framework for defining and tracking users, login sessions, and seats. Homepage: http://freedesktop.org/wiki/Software/ConsoleKit"
"M2Crypto";"0.20.2";"x86_64";"1";"/slackware64/l";"";"208 K";"1150 K";" M2Crypto (cryptography toolkit for Python) M2Crypto is a crypto and SSL toolkit for Python. It includes: - RSA, DSA, DH, HMACs, message digests, symmetric ciphers (e.g. AES) - SSL functionality to implement clients and servers - HTTPS extensions to Python's httplib, urllib, and xmlrpclib - Unforgeable HMAC'ing AuthCookies for web session management - FTP/TLS client and server, S/MIME v2, ZServerSSL, ZSmime Website: http://wiki.osafoundation.org/bin/view/Projects/MeTooCrypto"
"MPlayer";"20101218";"x86_64";"1";"/slackware64/xap";"";"8936 K";"25930 K";" MPlayer (media player) MPlayer is a movie player. It plays most MPEG/VOB, AVI, Ogg/OGM, VIVO, ASF/WMA/WMV, QT/MOV/MP4, RealMedia, Matroska, NUT, NuppelVideo, FLI, YUV4MPEG, FILM, RoQ, PVA files, supported by many native, XAnim, and Win32 DLL codecs. You can watch VideoCD, SVCD, DVD, 3ivx, DivX 3/4/5, WMV and even H.264 movies. Homepage for MPlayer is http://www.mplayerhq.hu/"
"PyQt";"4.8.1";"x86_64";"1";"/slackware64/l";"";"8160 K";"37340 K";" PyQt (Python bindings for Qt) PyQt is a set of Python bindings for Trolltech's Qt application framework and runs on all platforms supported by Qt. Homepage: http://www.riverbankcomputing.co.uk/software/PyQt/"
"QScintilla";"2.4.5";"x86_64";"2";"/slackware64/l";"";"1160 K";"8820 K";" QScintilla (Qt port of the Scintilla C++ editor control) QScintilla includes features especially useful when editing and debugging source code. These include support for syntax styling, error indicators, code completion, and call tips. The selection margin can contain markers like those used in debuggers to indicate breakpoints and the current line. Styling choices are more open than with many editors, allowing the use of proportional fonts, bold and italics, multiple foreground and background colours, and multiple fonts."
"a2ps";"4.14";"x86_64";"5";"/slackware64/ap";"";"736 K";"4560 K";" a2ps (any to PostScript filter) GNU a2ps is an Any to PostScript filter. Of course it processes plain text files, but also pretty prints quite a few popular programming languages. Also contained in this package is psutils, a collection of programs for manipulating PostScript files. a2ps is used by Apsfilter, so be sure to install this package if you plan to do any printing."
"aaa_base";"13.37";"x86_64";"3";"/slackware64/a";"";"12 K";"90 K";" aaa_base (Basic Linux filesystem package) Sets up the empty directory tree for Slackware and adds an email to root's mailbox welcoming them to Linux. :) This package should be installed first, and never uninstalled."
"aaa_elflibs";"13.37";"x86_64";"7";"/slackware64/a";"";"4136 K";"13920 K";" aaa_elflibs (shared libraries needed by many programs) This is a collection of shared libraries needed to run Linux programs. ELF (Executable and Linking Format) is the standard Linux binary format. These libraries are gathered from other Slackware packages and are intended to give a fairly complete initial set of libraries. This package should be not upgraded or reinstalled (it could copy over newer library versions)."
"aaa_terminfo";"5.8";"x86_64";"1";"/slackware64/a";"";"44 K";"720 K";" aaa_terminfo (a basic collection of terminfo entries) This is a starter set of files from the terminfo database, which should be enough in most cases. The complete set (from which this is derived) can be found in the ncurses package. The terminfo database describes the characteristics of terminals, so don't try to log in without this package. :-)"
"aalib";"1.4rc5";"x86_64";"3";"/slackware64/l";"";"160 K";"600 K";" aalib (ASCII Art library) _1l1vlvlvlvlvlvlvlvlvvl=. __111llvl+' __...._ +1lv11=. AA-lib is an ASCII art graphics _11vllvlv+ =vlvlvl1= /1vlvv1i=_ library. Internally, the AA-lib _vvllvlvlv= -+vlvlvlvlvlvlvlvdvl=_ API is similar to other graphics _:lvlvlvlvlv=. --^-^1lvlvlrlvv1s libraries, but it renders the =llvlvvlvlvv11lvl=.... -lvlevlvlvv the output into ASCII art (like =lvlvlvlvll-^+1vv11111v_ vlkllvllvl the example to the right :^) =lvlvlvlvl1 +1vv1v1lv _llvlvlvlvl The developers of AA-lib are +1lv |vlvl' -^-^- _1olvlvlvlv' Jan Hubicka, Thomas A. K. Kjaer, -1vl |lvlvlvlvlvlvlvlvv1vlvlvlvlv+. Tim Newsome, and Kamil Toman. +1 ^^^^^^^^^^^^^^^^^^^^^^^^vlv- -+uvlvlvlvlvlvlvlvlvlvlvlvl+_ -vlvlvlvlvlvlvlvllvlvl-'"
"acct";"6.5.4";"x86_64";"1";"/slackware64/ap";"";"96 K";"300 K";" acct (process accounting utilities) This is a set of utilities which reports and summarizes data about user connect times and process execution statistics. To activate process accounting, create the log file (touch /var/log/pacct), and then use the accton command to start it (accton /var/log/pacct). Be aware that the log file can grow to be quite large. The GNU process accounting utilities were written by Noel Cragg and the software is currently maintained by Ciaran O'Riordan, Manuel A. Fernandez Montecelo, and Tim Schmielau."
"acl";"2.2.50";"x86_64";"1";"/slackware64/a";"";"140 K";"450 K";" acl (tools for using POSIX Access Control Lists) This package contains a set of tools and libraries for manipulating POSIX Access Control Lists. POSIX Access Control Lists (defined in POSIX 1003.1e draft standard 17) are used to define more fine-grained discretionary access rights for files and directories. Homepage: http://savannah.nongnu.org/projects/acl"
"acpid";"2.0.9";"x86_64";"1";"/slackware64/a";"";"40 K";"150 K";" acpid (ACPI daemon) Most modern computers support the Advanced Configuration and Power Interface (ACPI) standard to allow intelligent power management. This package contains acpid, which is the user-space daemon needed in order to make the Linux ACPI support completely functional. ACPI must be compiled into the kernel to run acpid. Homepage: http://www.tedfelix.com/linux/acpid-netlink.html"
"akonadi";"1.4.1";"x86_64";"3";"/slackware64/l";"";"616 K";"2400 K";" akonadi (PIM storage service) akonadi is an extensible cross-desktop storage service for PIM data and meta data providing concurrent read, write, and query access. It will provide a unique desktop wide object identification and retrieval. Homepage: http://www.kdepim.org/akonadi/"
"alpine";"2.00";"x86_64";"3";"/slackware64/n";"";"1900 K";"8420 K";" alpine (Alternatively Licensed Program for Internet News and Email) Alpine is a fast, easy to use email client that is suitable for both the inexperienced email user as well as for the most demanding of power users. Alpine is based on the Pine(R) Message System, which was also developed at the University of Washington. Alpine can be learned by exploration and the use of context-sensitive help. The user experience is highly customizable through the use of the Alpine Setup command. The Alpine site may be found here: http://www.washington.edu/alpine"
